Name,Description,Latitude,Longitude,Auto_Opene,BldName,FID,Floor,description,name
(GDC) GATES DELL COMPLEX,name: kml_67<br>description: <br> Attributes<br>  FID  66 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (GDC) GATES DELL COMPLEX <br>FID: 66<br>Auto_Opene: 1<br>Floor: 02,30.285994,-97.736634,1,(GDC) GATES DELL COMPLEX,66,02,,kml_67
(GDC) GATES DELL COMPLEX,name: kml_68<br>description: <br> Attributes<br>  FID  67 <br>  Auto_Opene  0 <br>  Floor  02 <br>  BldName  (GDC) GATES DELL COMPLEX <br>FID: 67<br>Auto_Opene: 0<br>Floor: 02,30.28602,-97.736313,0,(GDC) GATES DELL COMPLEX,67,02,,kml_68
(GDC) GATES DELL COMPLEX,name: kml_69<br>description: <br> Attributes<br>  FID  68 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (GDC) GATES DELL COMPLEX <br>FID: 68<br>Auto_Opene: 1<br>Floor: 02,30.286274,-97.73646,1,(GDC) GATES DELL COMPLEX,68,02,,kml_69
(GDC) GATES DELL COMPLEX,name: kml_70<br>description: <br> Attributes<br>  FID  69 <br>  Auto_Opene  0 <br>  Floor  02 <br>  BldName  (GDC) GATES DELL COMPLEX <br>FID: 69<br>Auto_Opene: 0<br>Floor: 02,30.2863,-97.736402,0,(GDC) GATES DELL COMPLEX,69,02,,kml_70
(GDC) GATES DELL COMPLEX,name: kml_71<br>description: <br> Attributes<br>  FID  70 <br>  Auto_Opene  0 <br>  Floor  02 <br>  BldName  (GDC) GATES DELL COMPLEX <br>FID: 70<br>Auto_Opene: 0<br>Floor: 02,30.286282,-97.736177,0,(GDC) GATES DELL COMPLEX,70,02,,kml_71
(GDC) GATES DELL COMPLEX,name: kml_72<br>description: <br> Attributes<br>  FID  71 <br>  Auto_Opene  0 <br>  Floor  02 <br>  BldName  (GDC) GATES DELL COMPLEX <br>FID: 71<br>Auto_Opene: 0<br>Floor: 02,30.286463,-97.736184,0,(GDC) GATES DELL COMPLEX,71,02,,kml_72
(POB) PETER O'DONNELL JR. BUILDING,name: kml_73<br>description: <br> Attributes<br>  FID  72 <br>  Auto_Opene  1 <br>  Floor  02 <br>  BldName  (POB) PETER O'DONNELL JR. BUILDING <br>FID: 72<br>Auto_Opene: 1<br>Floor: 02,30.286861,-97.736262,1,(POB) PETER O'DONNELL JR. BUILDING,72,02,,kml_73
(EPS) E.P. SCHOCH BUILDING,name: kml_74<br>description: <br> Attributes<br>  FID  73 <br>  Auto_Opene  1 <br>  Floor  01 <br>  BldName  (EPS) E.P. SCHOCH BUILDING <br>FID: 73<br>Auto_Opene: 1<br>Floor: 01,30.285794,-97.736937,1,(EPS) E.P. SCHOCH BUILDING,73,01,,kml_74
(JGB) JACKSON GEOLOGICAL SCIENCES BLDG.,name: kml_75<br>description: <br> Attributes<br>  FID  74 <br>  Auto_Opene  0 <br>  Floor  02 <br>  BldName  (JGB) JACKSON GEOLOGICAL SCIENCES BLDG. <br>FID: 74<br>Auto_Opene: 0<br>Floor: 02,30.286023,-97.735996,0,(JGB) JACKSON GEOLOGICAL SCIENCES BLDG.,74,02,,kml_75
(JGB) JACKSON GEOLOGICAL SCIENCES BLDG.,name: kml_76<br>description: <br> Attributes<br>  FID  75 <br>  Auto_Opene  0 <br>  Floor  02 <br>  BldName  (JGB) JACKSON GEOLOGICAL SCIENCES BLDG. <br>FID: 75<br>Auto_Opene: 0<br>Floor: 02,30.285851,-97.736006,0,(JGB) JACKSON GEOLOGICAL SCIENCES BLDG.,75,02,,kml_76
